nama_bangunan,building_count,building_area_m2,buffer_area_m2,building_density,kategori_kerapatan
Sate Ahmad Yani,353,55545.274847653185,125461.9396215698,0.4427260969756574,Sedang
Sate Dua Saudara,239,34040.51581203028,125461.9396215698,0.2713214534599617,Rendah
Shinta,139,35675.525990137125,125461.9396215698,0.2843533751968527,Rendah
Sonic Chicken,271,47763.83418361736,125461.9396215698,0.38070377620246554,Sedang
Soto Lawas,256,62948.866099883606,125461.9396215698,0.5017367521158683,Sedang
Sukses Motor,194,58028.70043414904,125461.9396215698,0.4625203516634663,Sedang
sumber boga,265,35382.871763330935,125461.9396215698,0.2820207615955572,Rendah
Sumber Teknik,289,54122.127258229215,125461.9396215698,0.43138283547566303,Sedang
Surya Indah,409,52692.24132402647,125461.9396215698,0.4199858656972928,Sedang
TB Gerilya,315,54059.37581518265,125461.9396215698,0.43088267229282173,Sedang
tedja elektrik,207,34016.62153557982,125461.9396215698,0.2711310030610397,Rendah
Tepi Jalan BJ,102,36598.91325597661,125461.9396215698,0.2917132746900751,Rendah
terapi gratis,153,30124.505081424206,125461.9396215698,0.24010871482051524,Rendah
terus jaya-tara plastik,291,38984.18736398719,125461.9396215698,0.31072520862960507,Sedang
Toko Bata,232,56000.75026867514,125461.9396215698,0.4463564841862792,Sedang
Toko Brasil,253,52368.334808420324,125461.9396215698,0.4174041543306174,Sedang
Toko Cinderela,220,54473.64519952902,125461.9396215698,0.43418462494552207,Sedang
Toko Daerah,220,55932.3912462323,125461.9396215698,0.44581162554110737,Sedang
Toko Dua Saudara,231,29504.641968172087,125461.9396215698,0.23516806815809468,Rendah
Toko Emas Kencana,288,38551.496034577234,125461.9396215698,0.30727642304000646,Sedang
Toko Ibu,306,60361.56520345317,125461.9396215698,0.48111455462526276,Sedang
Toko Intisari,223,71702.81319377206,125461.9396215698,0.5715104788754971,Sedang
Toko Listrik Kebondalem,206,55269.719389312755,125461.9396215698,0.440529769873019,Sedang
Toko Mlati,255,58183.130143323535,125461.9396215698,0.46375124056603145,Sedang
