Lokasi,Jenis_Kendaraan,Hari,Jam_Ramai_Lama,Jam_Ramai_Pukul,Jam_Sedang_Lama,Jam_Sedang_Pukul,Jam_Sepi_Lama,Jam_Sepi_Pukul,Banyak_Kendaraan_Ramai,Banyak_Kendaraan_Sedang,Banyak_Kendaraan_Sepi,Sirkulasi_Ramai,Sirkulasi_Sedang,Sirkulasi_Sepi,Total_Ramai,Total_Sedang,Total_Sepi,Total_Sehari,Tarif_Parkir,Pendapatan_Sehari,Total_Mingguan,Potensi_Tahunan,Total Sirkulasi,Total Durasi Jam,Intensitas (kendaraan/jam),Kerapatan jalan
tedja elektrik,mobil,weekend,4.0,08.00-12.00,2.0,12.00-14.00,4.0,14.00-18.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,10.0,0.0,Sedang
alfamart karanglewas 2,mobil,weekend,5.0,18.00-23.00,6.0,12.00-18.00,5.0,07.00-12.00,2.0,1.0,1.0,2.0,1.0,0.0,12.0,7.0,1.0,20.0,2000.0,40000.0,80000.0,1536000.0,3.0,16.0,0.1875,Sedang
tral mode-gajah sakti-sinar b,mobil,weekend,4.0,08.00-12.00,2.0,12.00-14.00,3.0,14.00-17.00,2.0,1.0,0.0,1.0,1.0,0.0,6.0,3.0,0.0,9.0,2000.0,18000.0,36000.0,691200.0,2.0,9.0,0.2222222222222222,Sedang
sumber boga,mobil,weekend,3.0,07.00-12.00,2.0,12.00-14.00,3.0,14.00-17.00,2.0,2.0,0.0,2.0,1.0,0.0,8.0,4.0,0.0,12.0,2000.0,24000.0,48000.0,921600.0,3.0,8.0,0.375,Sedang
terapi gratis,mobil,weekend,3.0,08.00-11.00,2.0,13.00-15.00,2.0,11.00-13.00,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,2000.0,8000.0,16000.0,307200.0,1.0,7.0,0.14285714285714285,Sedang
terus jaya-tara plastik,mobil,weekend,3.0,07.00-12.00,2.0,12.00-14.00,3.0,14.00-17.00,3.0,2.0,1.0,2.0,1.0,1.0,9.0,4.0,4.0,17.0,2000.0,34000.0,68000.0,1305600.0,4.0,8.0,0.5,Sedang
Alfamidi Wahid Hasyim,motor,weekday,4.0,12.00-16.00,6.0,16.00-22.00,5.0,"09.00-12.00,
22.00-00.00",5.0,3.0,1.0,5.0,2.0,1.0,25.0,15.0,6.0,46.0,1000.0,46000.0,230000.0,4416000.0,8.0,15.0,0.5333333333333333,Sedang
Tepi Jalan BJ,motor,weekday,4.0,12.00-16.00,5.0,16.00-21.00,4.0,08.00-12.00,13.0,7.0,3.0,9.0,3.0,2.0,49.0,22.0,11.0,82.0,1000.0,82000.0,410000.0,7872000.0,14.0,13.0,1.0769230769230769,Sedang
Warung SS-JailBreak,motor,weekday,1.0,12.00-13.00,2.0,18.00-22.00,5.0,13.00-18.00,7.0,4.0,3.0,4.0,3.0,1.0,11.0,10.0,8.0,29.0,1000.0,29000.0,145000.0,2784000.0,8.0,8.0,1.0,Sedang
Sonic Chicken,motor,weekday,4.0,12.00-16.00,6.0,16.00-22.00,3.0,09.00-12.00,8.0,6.0,3.0,5.0,4.0,2.0,28.0,30.0,9.0,67.0,1000.0,67000.0,335000.0,6432000.0,11.0,13.0,0.8461538461538461,Sedang
Alfamart Wahid Hasyim,motor,weekday,4.0,18.00-22.00,5.0,07.00-12.00,6.0,12.00-18.00,5.0,3.0,2.0,7.0,2.0,2.0,33.0,13.0,14.0,60.0,1000.0,60000.0,300000.0,5760000.0,11.0,15.0,0.7333333333333333,Sedang
Indomaret Wahid Hasyim,motor,weekday,4.0,18.00-22.00,5.0,07.00-12.00,6.0,12.00-18.00,5.0,4.0,1.0,7.0,4.0,1.0,33.0,24.0,7.0,64.0,1000.0,64000.0,320000.0,6144000.0,12.0,15.0,0.8,Sedang
cket Chiken Wahid Hasyi,motor,weekday,3.0,10.00-13.00,3.0,18.00-21.00,5.0,13.00-18.00,7.0,5.0,3.0,7.0,3.0,2.0,28.0,14.0,13.0,55.0,1000.0,55000.0,275000.0,5280000.0,12.0,11.0,1.0909090909090908,Sedang
Salsa Snack,motor,weekday,3.0,06.00-09.00,7.0,09.00-16.00,5.0,16.00-21.00,9.0,5.0,2.0,9.0,5.0,2.0,36.0,40.0,12.0,88.0,1000.0,88000.0,440000.0,8448000.0,16.0,15.0,1.0666666666666667,Sedang
Sate Ahmad Yani,motor,weekday,3.0,18.00-21.00,3.0,10.00-13.00,5.0,13.00-18.00,7.0,6.0,3.0,5.0,5.0,2.0,22.0,21.0,13.0,56.0,1000.0,56000.0,280000.0,5376000.0,12.0,11.0,1.0909090909090908,Sedang
lfamidi Wahid Hasyi,mobil,weekday,4.0,12.00-16.00,6.0,16.00-22.00,5.0,"09.00-12.00,
22.00-00.00",2.0,1.0,0.0,1.0,1.0,0.0,6.0,7.0,0.0,13.0,2000.0,26000.0,130000.0,2496000.0,2.0,15.0,0.13333333333333333,Sedang
Tepi Jalan BJ,mobil,weekday,4.0,12.00-16.00,5.0,16.00-21.00,4.0,08.00-12.00,13.0,7.0,3.0,5.0,3.0,2.0,33.0,22.0,11.0,66.0,2000.0,132000.0,660000.0,12672000.0,10.0,13.0,0.7692307692307693,Sedang
Warung SS-JailBreak,mobil,weekday,1.0,12.00-13.00,2.0,18.00-22.00,5.0,13.00-18.00,3.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,6.0,15.0,2000.0,30000.0,150000.0,2880000.0,4.0,8.0,0.5,Sedang
Sonic Chicken,mobil,weekday,4.0,12.00-16.00,6.0,16.00-22.00,3.0,09.00-12.00,3.0,2.0,1.0,2.0,1.0,0.0,11.0,8.0,1.0,20.0,2000.0,40000.0,200000.0,3840000.0,3.0,13.0,0.23076923076923078,Sedang
famart Wahid Hasyi,mobil,weekday,4.0,18.00-22.00,5.0,07.00-12.00,6.0,12.00-18.00,2.0,1.0,1.0,2.0,1.0,0.0,10.0,6.0,1.0,17.0,2000.0,34000.0,170000.0,3264000.0,3.0,15.0,0.2,Sedang
domaret Wahid Hasy,mobil,weekday,4.0,18.00-22.00,5.0,07.00-12.00,6.0,12.00-18.00,3.0,2.0,1.0,2.0,1.0,0.0,11.0,7.0,1.0,19.0,2000.0,38000.0,190000.0,3648000.0,3.0,15.0,0.2,Sedang
