Lokasi,Jenis_Kendaraan,Hari,Jam_Ramai_Lama,Jam_Ramai_Pukul,Jam_Sedang_Lama,Jam_Sedang_Pukul,Jam_Sepi_Lama,Jam_Sepi_Pukul,Banyak_Kendaraan_Ramai,Banyak_Kendaraan_Sedang,Banyak_Kendaraan_Sepi,Sirkulasi_Ramai,Sirkulasi_Sedang,Sirkulasi_Sepi,Total_Ramai,Total_Sedang,Total_Sepi,Total_Sehari,Tarif_Parkir,Pendapatan_Sehari,Total_Mingguan,Potensi_Tahunan,Total Sirkulasi,Total Durasi Jam,Intensitas (kendaraan/jam),Kerapatan jalan
BCL-Toko Lampu,Motor,Weekday,3.0,15.00-18.00,3.0,12.00-15.00,6.0,"09.00-12.00,
18.00-21.00",42.0,22.0,13.0,12.0,9.0,5.0,78.0,49.0,43.0,170.0,1000.0,170000.0,850000.0,16320000.0,26.0,12.0,2.1666666666666665,Sedang
Matahari Store,Motor,Weekday,5.0,13.00-18.00,3.0,18.00-21.00,3.0,09.00-13.00,31.0,29.0,19.0,27.0,23.0,15.0,166.0,98.0,64.0,328.0,1000.0,328000.0,1640000.0,31488000.0,65.0,11.0,5.909090909090909,Tinggi
Deretan Eka Surya,Motor,Weekday,5.0,13.00-18.00,3.0,18.00-21.00,3.0,09.00-13.00,7.0,3.0,2.0,4.0,2.0,1.0,27.0,9.0,5.0,41.0,1000.0,41000.0,205000.0,3936000.0,7.0,11.0,0.6363636363636364,Sedang
Toko Brasil,Motor,Weekday,2.0,11.00-13.00,4.0,13.00-17.00,2.0,09.00-11.00,5.0,2.0,1.0,3.0,1.0,1.0,11.0,6.0,3.0,20.0,1000.0,20000.0,100000.0,1920000.0,5.0,8.0,0.625,Sedang
Apotek Medika,Motor,Weekday,3.0,15.00-18.00,3.0,18.00-21.00,8.0,07.00-15.00,3.0,1.0,1.0,3.0,2.0,1.0,12.0,7.0,9.0,28.0,1000.0,28000.0,140000.0,2688000.0,6.0,14.0,0.42857142857142855,Sedang
Virgo Salon,Motor,Weekday,2.0,11.00-13.00,4.0,13.00-17.00,5.0,"09.00-11.00, 17",8.0,6.0,1.0,3.0,2.0,1.0,14.0,14.0,6.0,34.0,1000.0,34000.0,170000.0,3264000.0,6.0,11.0,0.5454545454545454,Sedang
Sukses Motor,Motor,Weekday,3.0,13.00-16.00,4.0,11.00-13.00,3.0,"08.00-11.00, 16",27.0,14.0,9.0,13.0,8.0,4.0,66.0,46.0,21.0,133.0,1000.0,133000.0,665000.0,12768000.0,25.0,10.0,2.5,Tinggi
PMI,Motor,Weekday,3.0,13.00-16.00,4.0,11.00-13.00,7.0,"07.00-11.00, 16",13.0,12.0,8.0,8.0,6.0,5.0,37.0,36.0,43.0,116.0,1000.0,116000.0,580000.0,11136000.0,19.0,14.0,1.3571428571428572,Sedang
Mie Ayam Pajak,Motor,Weekday,1.0,12.00-13.00,3.0,13.00-16.00,2.0,10.00-12.00,9.0,6.0,3.0,3.0,2.0,2.0,12.0,12.0,7.0,31.0,1000.0,31000.0,155000.0,2976000.0,7.0,6.0,1.1666666666666667,Sedang
Java Ateka,Motor,Weekday,3.0,14.00-17.00,4.0,17.00-21.00,6.5,09.30-14.00,15.0,10.0,4.0,14.0,9.0,4.0,57.0,46.0,30.0,133.0,1000.0,133000.0,665000.0,12768000.0,27.0,13.5,2.0,Sedang
Oramen,Motor,Weekday,3.0,"13.00-14.00, 1",4.0,14.00-18.00,2.0,11.00-13.00,16.0,8.0,5.0,14.0,6.0,4.0,58.0,32.0,13.0,103.0,1000.0,103000.0,515000.0,9888000.0,24.0,9.0,2.6666666666666665,Tinggi
Balai Paras,Motor,Weekday,3.0,14.00-17.00,4.5,17.00-21.30,6.5,07.30-14.00,9.0,5.0,3.0,5.0,3.0,2.0,24.0,18.5,16.0,59.0,1000.0,59000.0,295000.0,5664000.0,10.0,14.0,0.7142857142857143,Sedang
RM Ampera,Motor,Weekday,4.0,"11.00-13.00, 1",5.0,"16.00-18.00, 13",4.0,"09.00-11.00, 20",4.0,3.0,2.0,2.0,1.0,1.0,12.0,8.0,6.0,26.0,1000.0,26000.0,130000.0,2496000.0,4.0,13.0,0.3076923076923077,Sedang
Els Komputer,Motor,Weekday,4.0,"11.00-13.00, 1",5.0,"16.00-18.00, 13",4.0,"09.00-11.00, 20",6.0,4.0,3.0,3.0,2.0,1.0,18.0,14.0,7.0,39.0,1000.0,39000.0,195000.0,3744000.0,6.0,13.0,0.46153846153846156,Sedang
Bakso Kenthut,Motor,Weekday,2.0,11.00-13.00,8.0,13.00-21.00,2.0,09.00-11.00,11.0,6.0,3.0,7.0,5.0,3.0,25.0,46.0,9.0,80.0,1000.0,80000.0,400000.0,187296000.0,15.0,12.0,1.25,Sedang
Toko Satria,Mobil,Weekday,2.0,15.00-17.00,3.0,09.00-12.00,3.0,13.00-15.00,3.0,2.0,1.0,2.0,1.0,0.0,7.0,5.0,1.0,13.0,2000.0,26000.0,130000.0,2496000.0,3.0,8.0,0.375,Sedang
Toko Mlati,Mobil,Weekday,2.0,14.00-16.00,3.0,08.00-11.00,3.0,11.00-14.00,4.0,3.0,2.0,3.0,2.0,1.0,10.0,9.0,5.0,24.0,2000.0,48000.0,240000.0,4608000.0,6.0,8.0,0.75,Sedang
Toko Pagoda,Mobil,Weekday,2.0,13.00-15.00,3.0,09.00-12.00,2.0,15.00-17.00,6.0,4.0,3.0,3.0,2.0,2.0,12.0,10.0,7.0,29.0,2000.0,58000.0,290000.0,5568000.0,7.0,7.0,1.0,Sedang
Matahari Bazzar,Mobil,Weekday,3.0,18.00-21.00,5.0,"09.00-12.00, 15",2.0,13.00-15.00,4.0,3.0,2.0,4.0,2.0,2.0,16.0,13.0,6.0,35.0,2000.0,70000.0,350000.0,6720000.0,8.0,10.0,0.8,Sedang
Toko Bata,Mobil,Weekday,3.0,18.00-21.00,6.0,"08.00-12.00, 15",2.0,13.00-15.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,11.0,0.0,Sedang
Kebondalam/Rita Pa,Mobil,Weekday,3.0,18.00-21.00,5.0,"09.00-12.00, 15",2.0,13.00-15.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,10.0,0.0,Sedang
Gerai Indosat,Mobil,Weekday,2.0,11.00-13.00,3.0,13.00-16.00,3.0,08.00-11.00,2.0,1.0,1.0,2.0,1.0,0.0,6.0,4.0,1.0,11.0,2000.0,22000.0,110000.0,2112000.0,3.0,8.0,0.375,Sedang
Toko Cinderela,Mobil,Weekday,2.0,18.00-20.00,5.0,"09.00-12.00,
16.00-18.00",6.0,12.00-16.00,2.0,1.0,0.0,1.0,1.0,0.0,4.0,6.0,0.0,10.0,2000.0,20000.0,100000.0,1920000.0,2.0,13.0,0.15384615384615385,Sedang
Toko Daerah,Mobil,Weekday,2.0,13.00-15.00,3.0,09.00-13.00,3.5,13.00-16.30,6.0,4.0,2.0,3.0,2.0,2.0,12.0,10.0,9.0,31.0,2000.0,62000.0,310000.0,5952000.0,7.0,8.5,0.8235294117647058,Sedang
ko Listrik Kebondale,Mobil,Weekday,3.0,09.00-12.00,3.0,17.00-20.00,5.0,12.00-17.00,6.0,3.0,1.0,3.0,2.0,2.0,15.0,9.0,11.0,35.0,2000.0,70000.0,350000.0,6720000.0,7.0,11.0,0.6363636363636364,Sedang
BCL-Toko Lampu,Mobil,Weekday,3.0,15.00-18.00,3.0,12.00-15.00,6.0,"09.00-12.00,
18.00-21.00",12.0,6.0,4.0,4.0,3.0,2.0,24.0,15.0,16.0,55.0,2000.0,110000.0,550000.0,10560000.0,9.0,12.0,0.75,Sedang
Matahari Store,Mobil,Weekday,5.0,13.00-18.00,3.0,18.00-21.00,3.0,09.00-13.00,10.0,8.0,4.0,6.0,4.0,3.0,40.0,20.0,13.0,73.0,2000.0,146000.0,730000.0,14016000.0,13.0,11.0,1.1818181818181819,Sedang
Deretan Eka Surya,Mobil,Weekday,5.0,13.00-18.00,3.0,18.00-21.00,3.0,09.00-13.00,26.0,10.0,6.0,18.0,13.0,6.0,116.0,49.0,24.0,189.0,2000.0,378000.0,1890000.0,36288000.0,37.0,11.0,3.3636363636363638,Tinggi
Toko Brasil,Mobil,Weekday,2.0,11.00-13.00,4.0,13.00-17.00,2.0,09.00-11.00,2.0,2.0,1.0,2.0,1.0,1.0,6.0,6.0,3.0,15.0,2000.0,30000.0,150000.0,2880000.0,4.0,8.0,0.5,Sedang
Apotek Medika,Mobil,Weekday,3.0,15.00-18.00,3.0,18.00-21.00,8.0,07.00-15.00,2.0,2.0,1.0,2.0,1.0,1.0,8.0,5.0,9.0,22.0,2000.0,44000.0,220000.0,4224000.0,4.0,14.0,0.2857142857142857,Sedang
Virgo Salon,Mobil,Weekday,2.0,11.00-13.00,4.0,13.00-17.00,5.0,"09.00-11.00, 17",2.0,1.0,1.0,2.0,1.0,0.0,6.0,5.0,1.0,12.0,2000.0,24000.0,120000.0,2304000.0,3.0,11.0,0.2727272727272727,Sedang
Sukses Motor,Mobil,Weekday,3.0,13.00-16.00,4.0,11.00-13.00,3.0,"08.00-11.00, 16",10.0,8.0,4.0,6.0,4.0,2.0,28.0,24.0,10.0,62.0,2000.0,124000.0,620000.0,11904000.0,12.0,10.0,1.2,Sedang
PMI,Mobil,Weekday,3.0,13.00-16.00,4.0,11.00-13.00,7.0,"07.00-11.00, 16",2.0,2.0,1.0,2.0,1.0,1.0,8.0,6.0,8.0,22.0,2000.0,44000.0,220000.0,4224000.0,4.0,14.0,0.2857142857142857,Sedang
Mie Ayam Pajak,Mobil,Weekday,1.0,12.00-13.00,3.0,13.00-16.00,2.0,10.00-12.00,2.0,2.0,1.0,2.0,1.0,1.0,4.0,5.0,3.0,12.0,2000.0,24000.0,120000.0,2304000.0,4.0,6.0,0.6666666666666666,Sedang
Java Ateka,Mobil,Weekday,3.0,14.00-17.00,4.0,17.00-21.00,6.5,09.30-14.00,4.0,2.0,1.0,3.0,2.0,1.0,13.0,10.0,7.5,31.0,2000.0,62000.0,310000.0,5952000.0,6.0,13.5,0.4444444444444444,Sedang
Oramen,Mobil,Weekday,3.0,"13.00-14.00, 1",4.0,14.00-18.00,2.0,11.00-13.00,7.0,4.0,1.0,5.0,3.0,1.0,22.0,16.0,3.0,41.0,2000.0,82000.0,410000.0,7872000.0,9.0,9.0,1.0,Sedang
Balai Paras,Mobil,Weekday,3.0,14.00-17.00,4.5,17.00-21.30,6.5,07.30-14.00,2.0,1.0,0.0,1.0,1.0,0.0,5.0,5.5,0.0,11.0,2000.0,22000.0,110000.0,2112000.0,2.0,14.0,0.14285714285714285,Sedang
RM Ampera,Mobil,Weekday,4.0,"11.00-13.00, 1",5.0,"16.00-18.00, 13",4.0,"09.00-11.00, 20",2.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,7.0,2000.0,14000.0,70000.0,1344000.0,1.0,13.0,0.07692307692307693,Sedang
Els Komputer,Mobil,Weekday,4.0,"11.00-13.00, 1",5.0,"16.00-18.00, 13",4.0,"09.00-11.00, 20",3.0,2.0,1.0,2.0,2.0,1.0,11.0,12.0,5.0,28.0,2000.0,56000.0,280000.0,5376000.0,5.0,13.0,0.38461538461538464,Sedang
Bakso Kenthut,Mobil,Weekday,2.0,11.00-13.00,8.0,13.00-21.00,2.0,09.00-11.00,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,2000.0,8000.0,40000.0,147456000.0,1.0,12.0,0.08333333333333333,Sedang
Toko Satria,motor,Weekend,2.0,15.00-17.00,3.0,09.00-12.00,3.0,13.00-15.00,8.0,7.0,6.0,7.0,7.0,6.0,22.0,28.0,24.0,74.0,1000.0,74000.0,148000.0,2841600.0,20.0,8.0,2.5,Tinggi
Toko Mlati,motor,Weekend,2.0,14.00-16.00,3.0,08.00-11.00,3.0,11.00-14.00,10.0,8.0,5.0,9.0,7.0,5.0,28.0,29.0,20.0,77.0,1000.0,77000.0,154000.0,2956800.0,21.0,8.0,2.625,Tinggi
Toko Pagoda,motor,Weekend,2.0,13.00-15.00,3.0,09.00-12.00,2.0,15.00-17.00,25.0,17.0,12.0,23.0,16.0,12.0,71.0,65.0,36.0,172.0,1000.0,172000.0,344000.0,6604800.0,51.0,7.0,7.285714285714286,Tinggi
Matahari Bazzar,motor,Weekend,3.0,18.00-21.00,5.0,"09.00-12.00, 1",2.0,13.00-15.00,23.0,20.0,10.0,23.0,17.0,7.0,92.0,105.0,24.0,221.0,1000.0,221000.0,442000.0,8486400.0,47.0,10.0,4.7,Tinggi
Toko Bata,motor,Weekend,3.0,18.00-21.00,6.0,"08.00-12.00, 1",2.0,13.00-15.00,41.0,16.0,11.0,28.0,17.0,6.0,125.0,118.0,23.0,266.0,1000.0,266000.0,532000.0,10214400.0,51.0,11.0,4.636363636363637,Tinggi
Apotek Kebondalam/Rita Pa,motor,Weekend,3.0,18.00-21.00,5.0,"09.00-12.00, 1",2.0,13.00-15.00,24.0,18.0,6.0,22.0,12.0,5.0,90.0,78.0,16.0,184.0,1000.0,184000.0,368000.0,7065600.0,39.0,10.0,3.9,Tinggi
Gerai Indosat,motor,Weekend,2.0,11.00-13.00,3.0,13.00-16.00,3.0,08.00-11.00,10.0,5.0,3.0,7.0,3.0,2.0,24.0,14.0,9.0,47.0,1000.0,47000.0,47000.0,902400.0,12.0,8.0,1.5,Sedang
Toko Cinderela,motor,Weekend,2.0,18.00-20.00,5.0,"09.00-12.00, 1",6.0,12.00-16.00,7.0,5.0,3.0,4.0,3.0,1.0,15.0,20.0,9.0,44.0,1000.0,44000.0,88000.0,1689600.0,8.0,13.0,0.6153846153846154,Sedang
Toko Daerah,motor,Weekend,2.0,13.00-15.00,3.0,09.00-13.00,3.5,13.00-16.30,7.0,5.0,4.0,4.0,3.0,1.0,15.0,14.0,7.5,37.0,1000.0,37000.0,37000.0,710400.0,8.0,8.5,0.9411764705882353,Sedang
Toko Listrik Kebondalem,motor,Weekend,3.0,09.00-12.00,3.0,17.00-20.00,5.0,12.00-17.00,8.0,4.0,2.0,3.0,2.0,1.0,17.0,10.0,7.0,34.0,1000.0,34000.0,68000.0,1305600.0,6.0,11.0,0.5454545454545454,Sedang
BCL-Toko Lampu,motor,Weekend,3.0,15.00-18.00,3.0,12.00-15.00,6.0,"09.00-12.00, 18.0",32.0,16.0,13.0,30.0,15.0,12.0,122.0,61.0,85.0,268.0,1000.0,268000.0,536000.0,10291200.0,57.0,12.0,4.75,Tinggi
Matahari Store,motor,Weekend,5.0,13.00-18.00,3.0,18.00-21.00,3.0,09.00-13.00,45.0,43.0,23.0,29.0,27.0,12.0,190.0,124.0,59.0,373.0,1000.0,373000.0,746000.0,14323200.0,68.0,11.0,6.181818181818182,Tinggi
Deretan Eka Surya,motor,Weekend,5.0,13.00-18.00,3.0,18.00-21.00,3.0,09.00-13.00,7.0,3.0,2.0,2.0,2.0,1.0,17.0,9.0,5.0,31.0,1000.0,31000.0,62000.0,1190400.0,5.0,11.0,0.45454545454545453,Sedang
Toko Brasil,motor,Weekend,2.0,11.00-13.00,4.0,13.00-17.00,2.0,09.00-11.00,6.0,3.0,2.0,4.0,2.0,1.0,14.0,11.0,4.0,29.0,1000.0,29000.0,58000.0,1113600.0,7.0,8.0,0.875,Sedang
Apotek Medika,motor,Weekend,3.0,15.00-18.00,3.0,18.00-21.00,8.0,07.00-15.00,4.0,2.0,1.0,3.0,2.0,1.0,13.0,8.0,9.0,30.0,1000.0,30000.0,60000.0,1152000.0,6.0,14.0,0.42857142857142855,Sedang
Virgo Salon,motor,Weekend,2.0,11.00-13.00,4.0,13.00-17.00,5.0,"09.00-11.00, 17.0",2.0,1.0,1.0,2.0,1.0,0.0,6.0,5.0,1.0,12.0,1000.0,12000.0,24000.0,460800.0,3.0,11.0,0.2727272727272727,Sedang
Sukses Motor,motor,Weekend,3.0,13.00-16.00,4.0,11.00-13.00,3.0,"08.00-11.00, 16.0",15.0,9.0,5.0,8.0,6.0,3.0,39.0,33.0,14.0,86.0,1000.0,86000.0,172000.0,3302400.0,17.0,10.0,1.7,Sedang
PMI,motor,Weekend,3.0,13.00-16.00,4.0,11.00-13.00,7.0,"07.00-11.00, 16.0",14.0,6.0,3.0,12.0,5.0,2.0,50.0,26.0,17.0,93.0,1000.0,93000.0,186000.0,3571200.0,19.0,14.0,1.3571428571428572,Sedang
Mie Ayam Pajak,motor,Weekend,1.0,12.00-13.00,3.0,13.00-16.00,2.0,10.00-12.00,8.0,6.0,4.0,8.0,5.0,4.0,16.0,21.0,12.0,49.0,1000.0,49000.0,49000.0,940800.0,17.0,6.0,2.8333333333333335,Tinggi
Java Ateka,motor,Weekend,3.0,14.00-17.00,4.0,17.00-21.00,6.5,09.30-14.00,36.0,17.0,11.0,16.0,13.0,7.0,84.0,69.0,56.5,210.0,1000.0,210000.0,420000.0,8064000.0,36.0,13.5,2.6666666666666665,Tinggi
Oramen,motor,Weekend,3.0,"13.00-14.00,",4.0,14.00-18.00,2.0,11.00-13.00,18.0,14.0,8.0,14.0,6.0,5.0,60.0,38.0,18.0,116.0,1000.0,116000.0,232000.0,4454400.0,25.0,9.0,2.7777777777777777,Tinggi
Balai Paras,motor,Weekend,3.0,14.00-17.00,4.5,17.00-21.30,6.5,07.30-14.00,7.0,7.0,7.0,7.0,6.0,4.0,28.0,34.0,33.0,95.0,1000.0,95000.0,190000.0,3648000.0,17.0,14.0,1.2142857142857142,Sedang
RM Ampera,motor,Weekend,4.0,"11.00-13.00,",5.0,"16.00-18.00, 1",4.0,"09.00-11.00, 20.0",2.0,1.0,1.0,2.0,1.0,0.0,10.0,6.0,1.0,17.0,1000.0,17000.0,34000.0,652800.0,3.0,13.0,0.23076923076923078,Sedang
Els Komputer,motor,Weekend,4.0,"11.00-13.00,",5.0,"16.00-18.00, 1",4.0,"09.00-11.00, 20.0",7.0,4.0,3.0,4.0,1.0,0.0,23.0,9.0,3.0,35.0,1000.0,35000.0,70000.0,1344000.0,5.0,13.0,0.38461538461538464,Sedang
Bakso Kenthut,motor,Weekend,2.0,11.00-13.00,8.0,13.00-21.00,2.0,09.00-11.00,7.0,6.0,5.0,6.0,6.0,5.0,19.0,54.0,15.0,88.0,1000.0,88000.0,176000.0,3379200.0,17.0,12.0,1.4166666666666667,Sedang
Toko Satria,mobil,Weekend,2.0,15.00-17.00,3.0,09.00-12.00,3.0,13.00-15.00,3.0,2.0,1.0,3.0,2.0,2.0,9.0,8.0,7.0,24.0,2000.0,48000.0,96000.0,1843200.0,7.0,8.0,0.875,Sedang
Toko Mlati,mobil,Weekend,2.0,14.00-16.00,3.0,08.00-11.00,3.0,11.00-14.00,5.0,4.0,1.0,5.0,2.0,2.0,15.0,10.0,7.0,32.0,2000.0,64000.0,128000.0,2457600.0,9.0,8.0,1.125,Sedang
Toko Pagoda,mobil,Weekend,2.0,13.00-15.00,3.0,09.00-12.00,2.0,15.00-17.00,6.0,4.0,3.0,3.0,2.0,2.0,12.0,10.0,7.0,29.0,2000.0,58000.0,116000.0,2227200.0,7.0,7.0,1.0,Sedang
Matahari Bazzar,mobil,Weekend,3.0,18.00-21.00,5.0,"09.00-12.00, 1",2.0,13.00-15.00,7.0,6.0,5.0,6.0,5.0,4.0,25.0,31.0,13.0,69.0,2000.0,138000.0,276000.0,5299200.0,15.0,10.0,1.5,Sedang
Toko Bata,mobil,Weekend,3.0,18.00-21.00,6.0,"08.00-12.00, 1",2.0,13.00-15.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,11.0,0.0,Sedang
ek Kebondalam/Rita Pasa,mobil,Weekend,3.0,18.00-21.00,5.0,"09.00-12.00, 1",2.0,13.00-15.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,10.0,0.0,Sedang
Gerai Indosat,mobil,Weekend,2.0,11.00-13.00,3.0,13.00-16.00,3.0,08.00-11.00,2.0,2.0,1.0,2.0,1.0,0.0,6.0,5.0,1.0,12.0,2000.0,24000.0,48000.0,921600.0,3.0,8.0,0.375,Sedang
Toko Cinderela,mobil,Weekend,2.0,18.00-20.00,5.0,"09.00-12.00, 1",6.0,12.00-16.00,2.0,1.0,0.0,1.0,1.0,0.0,4.0,6.0,0.0,10.0,2000.0,20000.0,40000.0,768000.0,2.0,13.0,0.15384615384615385,Sedang
Toko Daerah,mobil,Weekend,2.0,13.00-15.00,3.0,09.00-13.00,3.5,13.00-16.30,9.0,8.0,5.0,8.0,7.0,3.0,25.0,29.0,16.0,70.0,2000.0,140000.0,140000.0,2688000.0,18.0,8.5,2.1176470588235294,Sedang
Toko Listrik Kebondalem,mobil,Weekend,3.0,09.00-12.00,3.0,17.00-20.00,5.0,12.00-17.00,6.0,5.0,2.0,3.0,2.0,2.0,15.0,11.0,12.0,38.0,2000.0,76000.0,152000.0,2918400.0,7.0,11.0,0.6363636363636364,Sedang
BCL-Toko Lampu,mobil,Weekend,3.0,15.00-18.00,3.0,12.00-15.00,6.0,"09.00-12.00, 18.0",13.0,10.0,8.0,11.0,6.0,5.0,46.0,28.0,38.0,112.0,2000.0,224000.0,448000.0,8601600.0,22.0,12.0,1.8333333333333333,Sedang
Matahari Store,mobil,Weekend,5.0,13.00-18.00,3.0,18.00-21.00,3.0,09.00-13.00,7.0,7.0,6.0,5.0,3.0,2.0,32.0,16.0,12.0,60.0,2000.0,120000.0,240000.0,4608000.0,10.0,11.0,0.9090909090909091,Sedang
Deretan Eka Surya,mobil,Weekend,5.0,13.00-18.00,3.0,18.00-21.00,3.0,09.00-13.00,30.0,25.0,26.0,23.0,13.0,6.0,145.0,64.0,44.0,253.0,2000.0,506000.0,1012000.0,19430400.0,42.0,11.0,3.8181818181818183,Tinggi
Toko Brasil,mobil,Weekend,2.0,11.00-13.00,4.0,13.00-17.00,2.0,09.00-11.00,3.0,3.0,1.0,3.0,2.0,1.0,9.0,11.0,3.0,23.0,2000.0,46000.0,92000.0,1766400.0,6.0,8.0,0.75,Sedang
Apotek Medika,mobil,Weekend,3.0,15.00-18.00,3.0,18.00-21.00,8.0,07.00-15.00,2.0,1.0,1.0,2.0,1.0,0.0,8.0,4.0,1.0,13.0,2000.0,26000.0,52000.0,998400.0,3.0,14.0,0.21428571428571427,Sedang
Virgo Salon,mobil,Weekend,2.0,11.00-13.00,4.0,13.00-17.00,5.0,"09.00-11.00, 17.0",3.0,2.0,1.0,2.0,1.0,1.0,7.0,6.0,6.0,19.0,2000.0,38000.0,76000.0,1459200.0,4.0,11.0,0.36363636363636365,Sedang
Sukses Motor,mobil,Weekend,3.0,13.00-16.00,4.0,11.00-13.00,3.0,"08.00-11.00, 16.0",5.0,4.0,3.0,4.0,3.0,2.0,17.0,16.0,9.0,42.0,2000.0,84000.0,168000.0,3225600.0,9.0,10.0,0.9,Sedang
PMI,mobil,Weekend,3.0,13.00-16.00,4.0,11.00-13.00,7.0,"07.00-11.00, 16.0",1.0,1.0,1.0,2.0,1.0,0.0,7.0,5.0,1.0,13.0,2000.0,26000.0,52000.0,998400.0,3.0,14.0,0.21428571428571427,Sedang
Mie Ayam Pajak,mobil,Weekend,1.0,12.00-13.00,3.0,13.00-16.00,2.0,10.00-12.00,5.0,4.0,2.0,2.0,1.0,1.0,7.0,7.0,4.0,18.0,2000.0,36000.0,72000.0,1382400.0,4.0,6.0,0.6666666666666666,Sedang
Java Ateka,mobil,Weekend,3.0,14.00-17.00,4.0,17.00-21.00,6.5,09.30-14.00,2.0,2.0,0.0,2.0,0.0,0.0,8.0,2.0,0.0,10.0,2000.0,20000.0,40000.0,768000.0,2.0,13.5,0.14814814814814814,Sedang
Oramen,mobil,Weekend,3.0,"13.00-14.00,",4.0,14.00-18.00,2.0,11.00-13.00,9.0,4.0,2.0,5.0,4.0,1.0,24.0,20.0,4.0,48.0,2000.0,96000.0,192000.0,3686400.0,10.0,9.0,1.1111111111111112,Sedang
Balai Paras,mobil,Weekend,3.0,14.00-17.00,4.5,17.00-21.30,6.5,07.30-14.00,2.0,1.0,0.0,1.0,1.0,0.0,5.0,6.0,0.0,11.0,2000.0,22000.0,44000.0,844800.0,2.0,14.0,0.14285714285714285,Sedang
RM Ampera,mobil,Weekend,4.0,"11.00-13.00,",5.0,"16.00-18.00, 1",4.0,"09.00-11.00, 20.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,13.0,0.0,Sedang
Els Komputer,mobil,Weekend,4.0,"11.00-13.00,",5.0,"16.00-18.00, 1",4.0,"09.00-11.00, 20.0",3.0,2.0,0.0,2.0,2.0,0.0,11.0,12.0,0.0,23.0,2000.0,46000.0,92000.0,1766400.0,4.0,13.0,0.3076923076923077,Sedang
Bakso Kenthut,mobil,Weekend,2.0,11.00-13.00,8.0,13.00-21.00,2.0,09.00-11.00,2.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,2000.0,10000.0,10000.0,192000.0,1.0,12.0,0.08333333333333333,Sedang
Area Afra,Motor,Weekday,3.0,08.00-11.00,3.0,11.00-14.00,3.0,14.00-17.00,7.0,5.0,3.0,3.0,2.0,1.0,16.0,11.0,6.0,33.0,1000.0,33000.0,165000.0,3168000.0,6.0,9.0,0.6666666666666666,Sedang
Mahkota Putra,Motor,Weekday,6.0,12.00-18.00,3.0,09.00-12.00,3.0,18.00-21.00,15.0,9.0,5.0,9.0,7.0,2.0,69.0,30.0,11.0,110.0,1000.0,110000.0,550000.0,10560000.0,18.0,12.0,1.5,Sedang
famart (deket telko,Motor,Weekday,6.0,12.00-18.00,5.0,07.00-12.00,4.0,18.00-22.00,9.0,5.0,5.0,3.0,3.0,2.0,27.0,20.0,13.0,60.0,1000.0,60000.0,300000.0,5760000.0,8.0,15.0,0.5333333333333333,Sedang
Sami Asih 2,Motor,Weekday,3.0,11.00-14.00,4.0,14.00-18.00,2.0,18.00-20.00,9.0,5.0,4.0,5.0,3.0,2.0,24.0,17.0,8.0,49.0,1000.0,49000.0,245000.0,4704000.0,10.0,9.0,1.1111111111111112,Sedang
Area Metro,Motor,Weekday,3.0,09.00-12.00,3.0,12.00-15.00,2.0,15.00-17.00,11.0,7.0,8.0,5.0,3.0,3.0,26.0,16.0,14.0,56.0,1000.0,56000.0,280000.0,5376000.0,11.0,8.0,1.375,Sedang
Kaliandra,Motor,Weekday,2.5,18.30-21.00,2.0,21.00-23.00,1.0,17.30-18.30,9.0,6.0,3.0,5.0,3.0,1.0,22.0,12.0,4.0,38.0,1000.0,38000.0,190000.0,3648000.0,9.0,5.5,1.6363636363636365,Sedang
Batik Mahkota,Motor,Weekday,4.0,11.00-15.00,2.0,09.00-11.00,2.0,15.00-17.00,9.0,5.0,4.0,4.0,2.0,2.0,25.0,9.0,8.0,42.0,1000.0,42000.0,210000.0,4032000.0,8.0,8.0,1.0,Sedang
Pegadaian,Motor,Weekday,3.0,08.00-11.00,3.0,11.00-14.000,2.0,14.00-16.00,8.0,5.0,4.0,4.0,2.0,2.0,20.0,11.0,8.0,39.0,1000.0,39000.0,195000.0,3744000.0,8.0,8.0,1.0,Sedang
Central Plastik,Motor,Weekday,3.0,09.00-12.00,3.0,12.00-15.00,2.0,15.00-17.00,9.0,5.0,2.0,4.0,2.0,1.0,21.0,11.0,4.0,36.0,1000.0,36000.0,180000.0,3456000.0,7.0,8.0,0.875,Sedang
